id,series,block,format,card_num,name,type,class,race,professions,talent,faction,type_tags,rarity,cost,cost_modifier,attack,strike_cost,damage_type,defense,health,rules,wowtcgdb_id,card_image,series_type,ally_faction,talent_restrictions,race_restrictions,profession_restrictions,reputation_restrictions
1,Heroes of Azeroth,Heroes of Azeroth,Classic,001,Boris BrightBeard,Hero,Priest,Dwarf,"Enchanting, Tailoring",Holy,Alliance,,U,0,,0,,,0,26,"Pay X, Flip Boris Brightbeard >>> Boris heals X damage from target hero or ally. Use only on your turn.",129,HoA_001.jpg,Core,Neutral,,,,
2,Heroes of Azeroth,Heroes of Azeroth,Classic,002,Dizdemona,Hero,Warlock,Gnome,"Mining, Tailoring",Affliction,Alliance,,U,0,,0,,Shadow,0,28,"Pay 3, Flip Dizdemona, Put X damage on her >>> Dizdemona deals X Shadow damage to target ally. Use only on your turn.",289,HoA_002.jpg,Core,Neutral,,,,
3,Heroes of Azeroth,Heroes of Azeroth,Classic,003,Elendril,Hero,Hunter,Night Elf,"Engineering, Leatherworking",Marksmanship,Alliance,,U,0,,0,,,0,28,"Pay 1, Flip Elendril >>> Your Ranged weapons have +3 ATK this turn.",122,HoA_003.jpg,Core,Neutral,,,,
4,Heroes of Azeroth,Heroes of Azeroth,Classic,004,Graccus,Hero,Paladin,Human,"Blacksmithing, Mining",Protection,Alliance,,U,0,,0,,,0,29,"Pay 3, Flip Graccus >>> Prevent the next 3 damage that would be dealt to target hero or ally this turn.",32,HoA_004.jpg,Core,Neutral,,,,
5,Heroes of Azeroth,Heroes of Azeroth,Classic,005,Litori Frostburn,Hero,Mage,Human,"Alchemy, Herbalism",Frost,Alliance,,U,0,,0,,,0,25,"Pay 2, Flip Litori Frostburn >>> Target hero or ally can't attack this turn.",148,HoA_005.jpg,Core,Neutral,,,,
6,Heroes of Azeroth,Heroes of Azeroth,Classic,006,Moonshadow,Hero,Druid,Night Elf,"Alchemy, Herbalism",Restoration,Alliance,,U,0,,0,,,0,27,"Pay 3, Flip Moonshadow >>> Shuffle your hand into your deck, then draw that many cards.",199,HoA_006.jpg,Core,Neutral,,,,
7,Heroes of Azeroth,Heroes of Azeroth,Classic,007,Timmo Shadestep,Hero,Rogue,Gnome,"Engineering, Mining",Assassination,Alliance,,U,0,,0,,,0,27,"Pay 5, Flip Timmo Shadestep >>> Destroy target exhausted ally. Use only on your turn.",239,HoA_007.jpg,Core,Neutral,,,,
8,Heroes of Azeroth,Heroes of Azeroth,Classic,008,Warrax,Hero,Warrior,Dwarf,"Blacksmithing, Mining",Protection,Alliance,,U,0,,0,,,0,30,"Pay 1, Flip Warrax >>> Warrax has protector this turn.",31,HoA_008.jpg,Core,Neutral,,,,
9,Heroes of Azeroth,Heroes of Azeroth,Classic,009,Gorebelly,Hero,Warrior,Orc,"Blacksmithing, Mining",Arms,Horde,,U,0,,0,,,0,30,"Pay 1, Flip Gorebelly >>> You pay 3 less the next time you strike with a Melee weapon this turn.",38,HoA_009.jpg,Core,Neutral,,,,
10,Heroes of Azeroth,Heroes of Azeroth,Classic,010,Grennan Stormspeaker,Hero,Shaman,Tauren,"Skinning, Herbalism",Elemental,Horde,,U,0,,0,,,0,29,"Pay 5, Flip Grennan Stormspeaker >>> Grennan deals 3 nature damage to target hero or ally and heals 3 damage from target hero or ally. Use only on your turn.",35,HoA_010.jpg,Core,Neutral,,,,
